Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ren, Xiaoli; Li, Xiaoyong; Ren, Kaijun; Song, Junqiang; Xu, Zichen; Deng, Kefeng; Wang, Xiang; ",Deep learning-based weather prediction: a survey,Big Data Research,23,,100178,2021,Elsevier
"Xu, Zichen; Tu, Yi-Cheng; Wang, Xiaorui; ",Exploring power-performance tradeoffs in database systems,2010 IEEE 26th International Conference on Data Engineering (ICDE 2010),,,485-496,2010,IEEE
"Xu, Zhang; Wang, Haining; Xu, Zichen; Wang, Xiaorui; ",Power Attack: An Increasing Threat to Data Centers.,NDSS,,,,2014,Citeseer
"Xu, Zichen; Stewart, Christopher; Deng, Nan; Wang, Xiaorui; ",Blending on-demand and spot instances to lower costs for in-memory storage,IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer Communications,,,1-9,2016,IEEE
"Xu, Zichen; Deng, Nan; Stewart, Christopher; Wang, Xiaorui; ",Cadre: Carbon-aware data replication for geo-diverse services,2015 IEEE International Conference on Autonomic Computing,,,177-186,2015,IEEE
"Xu, Zichen; Tu, Yi-Cheng; Wang, Xiaorui; ",PET: reducing database energy cost via query optimization,Proceedings of the VLDB Endowment,5,12,1954-1957,2012,VLDB Endowment
"Deng, Nan; Xu, Zichen; Stewart, Christopher; Wang, Xiaorui; ",From the Outside Looking In: Probing Web {APIs} to Build Detailed Workload Profiles,9th International Workshop on Feedback Computing (Feedback Computing 14),,,,2014,
"Wang, Xiuxiu; Niu, Yipei; Liu, Fangming; Xu, Zichen; ",When FPGA meets cloud: A first look at performance,IEEE Transactions on Cloud Computing,10,2,1344-1357,2020,IEEE
"Xu, Zichen; Tu, Yi-Cheng; Wang, Xiaorui; ",Dynamic energy estimation of query plans in database systems,2013 IEEE 33rd International Conference on Distributed Computing Systems,,,83-92,2013,IEEE
"Tu, Yi-Cheng; Wang, Xiaorui; Zeng, Bo; Xu, Zichen; ",A system for energy-efficient data management,ACM SIGMOD Record,43,1,21-26,2014,"ACM New York, NY, USA"
"Xu, Zichen; Li, Li; Zou, Wenting; ",Exploring federated learning on battery-powered devices,Proceedings of the ACM turing celebration conference-China,,,1-6,2019,
"Xu, Zichen; ",Building a power-aware database management system,Proceedings of the Fourth SIGMOD PhD Workshop on Innovative Database Research,,,1-6,2010,
"Zhang, Fengqin; Zhang, Minghui; Qin, Binjie; Zhang, Yi; Xu, Zichen; Liang, Dong; Liu, Qiegen; ",REDAEP: Robust and enhanced denoising autoencoding prior for sparse-view CT reconstruction,IEEE Transactions on Radiation and Plasma Medical Sciences,5,1,108-119,2020,IEEE
"Zhu, Haoyang; Li, Xiaoyong; Liu, Qiang; Xu, Zichen; ",Top-k dominating queries on skyline groups,IEEE Transactions on Knowledge and Data Engineering,32,7,1431-1444,2019,IEEE
"Xu, Zichen; Wang, Xiaorui; Tu, Yi-cheng; ",{Power-Aware} Throughput Control for Database Management Systems,10th International Conference on Autonomic Computing (ICAC 13),,,315-324,2013,
"Xu, Zichen; Tu, Yi-Cheng; Wang, Xiaorui; ",Online energy estimation of relational operations in database systems,IEEE transactions on computers,64,11,3223-3236,2015,IEEE
"Zuo, Feilong; Luo, Zhengxiong; Yu, Junze; Chen, Ting; Xu, Zichen; Cui, Aiguo; Jiang, Yu; ",Vulnerability detection of ICS protocols via cross-state fuzzing,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,11,4457-4468,2022,IEEE
"Li, Jin; Li, Wanyun; Xu, Zichen; Wang, Yuhao; Liu, Qiegen; ",Wavelet transform-assisted adaptive generative modeling for colorization,IEEE Transactions on Multimedia,25,,4547-4562,2022,IEEE
"Shen, Yuheng; Xu, Yiru; Sun, Hao; Liu, Jianzhong; Xu, Zichen; Cui, Aiguo; Shi, Heyuan; Jiang, Yu; ",Tardis: Coverage-guided embedded operating system fuzzing,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,11,4563-4574,2022,IEEE
"Xuliang, Zhang; Zhaohui, Zhang; Dongqi, Gu; ",Research on evolution of coastal wetlands in Liaohe River Delta,Ecology and Environmental Sciences,18,3,1002-1009,2009,
"Wang, Xiang; Zhu, Junxing; Xu, Zichen; Ren, Kaijun; Liu, Xinwang; Wang, Fengyun; ",Local nonlinear dimensionality reduction via preserving the geometric structure of data,Pattern Recognition,143,,109663,2023,Elsevier
"Wu, Song; Li, Xiaoyong; Dong, Wei; Wang, Senzhang; Zhang, Xiaojiang; Xu, Zichen; ",Multi-source and heterogeneous marine hydrometeorology spatio-temporal data analysis with machine learning: a survey,World Wide Web,26,3,1115-1156,2023,Springer
"Du, Yunxiao; Xu, Zichen; Zhang, Kanqi; Liu, Jie; Stewart, Christopher; Huang, Jiacheng; ",Cost-effective strong consistency on scalable geo-diverse data replicas,IEEE Transactions on Cloud Computing,11,2,1764-1776,2022,IEEE
"Sun, Xiangyuan; Li, Xiaoyong; Ren, Kaijun; Song, Junqiang; Xu, Zichen; Chen, Jing; ",Rethinking compact abating probability modeling for open set recognition problem in Cyber-physical systems,Journal of Systems Architecture,101,,101660,2019,Elsevier
"Deng, Nan; Xu, Zichen; Stewart, Christopher; Wang, Xiaorui; ",Tell-tale tails: Decomposing response times for live internet services,2015 Sixth International Green and Sustainable Computing Conference (IGSC),,,1-8,2015,IEEE
"Hu, Haichuan; Liu, Fangming; Pei, Qiangyu; Yuan, Yongjie; Xu, Zichen; Wang, Lin; ",λgrapher: A resource-efficient serverless system for gnn serving through graph sharing,Proceedings of the ACM Web Conference 2024,,,2826-2835,2024,
"Lu, Jingze; Ren, Kaijun; Li, Xiaoyong; Zhao, Yanlai; Xu, Zichen; Ren, Xiaoli; ",From reanalysis to satellite observations: Gap-filling with imbalanced learning,GeoInformatica,,,1-32,2022,Springer
"Eslami, Mehrad; Tu, Yicheng; Charkhgard, Hadi; Xu, Zichen; Liu, Jiacheng; ",PsiDB: A framework for batched query processing and optimization,2019 IEEE International Conference on Big Data (Big Data),,,6046-6048,2019,IEEE
"Xu, Zichen; Stewart, Christopher; Huang, Jiacheng; ","Elastic, geo-distributed raft",Proceedings of the International Symposium on Quality of Service,,,1-9,2019,
"Han, Peng; Zhou, Silin; Yu, Jie; Xu, Zichen; Chen, Lisi; Shang, Shuo; ",Personalized re-ranking for recommendation with mask pretraining,Data Science and Engineering,8,4,357-367,2023,Springer
"Wang, Xiang; Li, Xiaoyong; Zhu, Junxing; Xu, Zichen; Ren, Kaijun; Zhang, Weiming; Liu, Xinwang; Yu, Kui; ",A local similarity-preserving framework for nonlinear dimensionality reduction with neural networks,"Database Systems for Advanced Applications: 26th International Conference, DASFAA 2021, Taipei, Taiwan, April 11–14, 2021, Proceedings, Part II 26",,,376-391,2021,Springer
