id,title,venue,year,volume,number,pages,publisher,ccf_rank,dblp_url,pdf_url,abstract,keywords,type,slides_url,video_url,code_repository_url,project_page_url,is_peer_reviewed,publication_status,authors_full_string,createdAt,updatedAt
"515","Deep learning-based weather prediction: a survey","Big Data Research","2021","23","","100178","Elsevier","B","","","","","CONFERENCE","","","","",true,"","Ren, Xiaoli; Li, Xiaoyong; Ren, Kaijun; Song, Junqiang; Xu, Zichen; Deng, Kefeng; Wang, Xiang; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"516","Blending on-demand and spot instances to lower costs for in-memory storage","IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer Communications","2016","","","1-9","IEEE","A","","","","","CONFERENCE","","","","",true,"","Xu, Zichen; Stewart, Christopher; Deng, Nan; Wang, Xiaorui; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"517","When FPGA meets cloud: A first look at performance","IEEE Transactions on Cloud Computing","2020","10","2","1344-1357","IEEE","C","","","","","CONFERENCE","","","","",true,"","Wang, Xiuxiu; Niu, Yipei; Liu, Fangming; Xu, Zichen; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"518","Exploring federated learning on battery-powered devices","Proceedings of the ACM turing celebration conference-China","2019","","","1-6","","B","","","","","CONFERENCE","","","","",true,"","Xu, Zichen; Li, Li; Zou, Wenting; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"519","REDAEP: Robust and enhanced denoising autoencoding prior for sparse-view CT reconstruction","IEEE Transactions on Radiation and Plasma Medical Sciences","2020","5","1","108-119","IEEE","C","","","","","CONFERENCE","","","","",true,"","Zhang, Fengqin; Zhang, Minghui; Qin, Binjie; Zhang, Yi; Xu, Zichen; Liang, Dong; Liu, Qiegen; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"520","Top-k dominating queries on skyline groups","IEEE Transactions on Knowledge and Data Engineering","2019","32","7","1431-1444","IEEE","C","","","","","CONFERENCE","","","","",true,"","Zhu, Haoyang; Li, Xiaoyong; Liu, Qiang; Xu, Zichen; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"521","Vulnerability detection of ICS protocols via cross-state fuzzing","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","2022","41","11","4457-4468","IEEE","C","","","","","CONFERENCE","","","","",true,"","Zuo, Feilong; Luo, Zhengxiong; Yu, Junze; Chen, Ting; Xu, Zichen; Cui, Aiguo; Jiang, Yu; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"522","Wavelet transform-assisted adaptive generative modeling for colorization","IEEE Transactions on Multimedia","2022","25","","4547-4562","IEEE","C","","","","","CONFERENCE","","","","",true,"","Li, Jin; Li, Wanyun; Xu, Zichen; Wang, Yuhao; Liu, Qiegen; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"523","Tardis: Coverage-guided embedded operating system fuzzing","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","2022","41","11","4563-4574","IEEE","C","","","","","CONFERENCE","","","","",true,"","Shen, Yuheng; Xu, Yiru; Sun, Hao; Liu, Jianzhong; Xu, Zichen; Cui, Aiguo; Shi, Heyuan; Jiang, Yu; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"524","Local nonlinear dimensionality reduction via preserving the geometric structure of data","Pattern Recognition","2023","143","","109663","Elsevier","B","","","","","CONFERENCE","","","","",true,"","Wang, Xiang; Zhu, Junxing; Xu, Zichen; Ren, Kaijun; Liu, Xinwang; Wang, Fengyun; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"525","Multi-source and heterogeneous marine hydrometeorology spatio-temporal data analysis with machine learning: a survey","World Wide Web","2023","26","3","1115-1156","Springer","","","","","","CONFERENCE","","","","",true,"","Wu, Song; Li, Xiaoyong; Dong, Wei; Wang, Senzhang; Zhang, Xiaojiang; Xu, Zichen; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"526","Cost-effective strong consistency on scalable geo-diverse data replicas","IEEE Transactions on Cloud Computing","2022","11","2","1764-1776","IEEE","C","","","","","CONFERENCE","","","","",true,"","Du, Yunxiao; Xu, Zichen; Zhang, Kanqi; Liu, Jie; Stewart, Christopher; Huang, Jiacheng; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"527","Rethinking compact abating probability modeling for open set recognition problem in Cyber-physical systems","Journal of Systems Architecture","2019","101","","101660","Elsevier","B","","","","","CONFERENCE","","","","",true,"","Sun, Xiangyuan; Li, Xiaoyong; Ren, Kaijun; Song, Junqiang; Xu, Zichen; Chen, Jing; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"528","λgrapher: A resource-efficient serverless system for gnn serving through graph sharing","Proceedings of the ACM Web Conference 2024","2024","","","2826-2835","","B","","","","","CONFERENCE","","","","",true,"","Hu, Haichuan; Liu, Fangming; Pei, Qiangyu; Yuan, Yongjie; Xu, Zichen; Wang, Lin; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"529","From reanalysis to satellite observations: Gap-filling with imbalanced learning","GeoInformatica","2022","","","1-32","Springer","","","","","","CONFERENCE","","","","",true,"","Lu, Jingze; Ren, Kaijun; Li, Xiaoyong; Zhao, Yanlai; Xu, Zichen; Ren, Xiaoli; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"530","PsiDB: A framework for batched query processing and optimization","2019 IEEE International Conference on Big Data (Big Data)","2019","","","6046-6048","IEEE","B","","","","","CONFERENCE","","","","",true,"","Eslami, Mehrad; Tu, Yicheng; Charkhgard, Hadi; Xu, Zichen; Liu, Jiacheng; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
"531","Elastic, geo-distributed raft","Proceedings of the International Symposium on Quality of Service","2019","","","1-9","","C","","","","","CONFERENCE","","","","",true,"","Xu, Zichen; Stewart, Christopher; Huang, Jiacheng; ","2025-04-23T13:12:14.338Z","2025-04-23T13:12:14.338Z"
